bo3_id,players,winner,score,replay_urls,maps,total_duration_min,time_span_hours,description
Bo3_01,DocStudios vs FailedLight,FailedLight,2-1,"https://api.bar-rts.com/replays/9b001768e1e004286a06b7de3bea6fce,https://api.bar-rts.com/replays/a62f1d681b55ac6c3e5884af42ae1a40,https://api.bar-rts.com/replays/95d51e68ef4c1ba09cc188f6891fb759","Unknown, Unknown, Unknown",584,142.6,Bo3 1: DocStudios vs FailedLight - FailedLight wins 2-1 (584min)
Bo3_02,DocStudios vs FailedLight,FailedLight,2-1,"https://api.bar-rts.com/replays/82801568348b5d14fa9189b15158e497,https://api.bar-rts.com/replays/9b001768e1e004286a06b7de3bea6fce,https://api.bar-rts.com/replays/a62f1d681b55ac6c3e5884af42ae1a40","Unknown, Unknown, Unknown",532,139.9,Bo3 2: DocStudios vs FailedLight - FailedLight wins 2-1 (532min)
Bo3_03,LastBlast vs SomeTenRandom,LastBlast,2-1,"https://api.bar-rts.com/replays/e3c80e682eb0cdde27cf0719805c7327,https://api.bar-rts.com/replays/32fa0e686234ae8ca75de8e4283ecda1,https://api.bar-rts.com/replays/856511682594357d5fa41809bf9dcc78","Unknown, Unknown, Unknown",463,47.5,Bo3 3: LastBlast vs SomeTenRandom - LastBlast wins 2-1 (463min)
Bo3_04,jel523 vs luca234,luca234,3-0,"https://api.bar-rts.com/replays/abc713686b5552dc09568b8d2b83e26e,https://api.bar-rts.com/replays/2964146806f0d15134816eab79e66eda,https://api.bar-rts.com/replays/157d1468191ab37850b97d5d6414159c","Unknown, Unknown, Unknown",460,12.9,Bo3 4: jel523 vs luca234 - luca234 wins 3-0 (460min)
Bo3_05,Firezar vs kosmiss,kosmiss,2-0,"https://api.bar-rts.com/replays/d5863f68d1c2e8d042fb0a1b99507cf4,https://api.bar-rts.com/replays/22a33f688108cfe2e0132513a601ea4e,https://api.bar-rts.com/replays/852644689247f8145bb10d14db6d9924","Unknown, Unknown, Unknown",457,84.2,Bo3 5: Firezar vs kosmiss - kosmiss wins 2-0 (457min)
Bo3_06,jel523 vs luca234,luca234,2-0,"https://api.bar-rts.com/replays/157d1468191ab37850b97d5d6414159c,https://api.bar-rts.com/replays/bdd814686a173d1c5b3ef7cd47512f85,https://api.bar-rts.com/replays/96e31468bf40ef80f4e89b9c0fcc8c0e","Unknown, Unknown, Unknown",449,7.3,Bo3 6: jel523 vs luca234 - luca234 wins 2-0 (449min)
Bo3_07,Firezar vs kosmiss,kosmiss,2-0,"https://api.bar-rts.com/replays/4a013d685104bd14fd0d9492ee54bb19,https://api.bar-rts.com/replays/6b3c3e680c17f9093612b638147650d4,https://api.bar-rts.com/replays/d5863f68d1c2e8d042fb0a1b99507cf4","Unknown, Unknown, Unknown",448,45.9,Bo3 7: Firezar vs kosmiss - kosmiss wins 2-0 (448min)
Bo3_08,burtik vs burtik2023,burtik,3-0,"https://api.bar-rts.com/replays/517f2b68810ad05cadf1993c3ba9c0ad,https://api.bar-rts.com/replays/e0b92c68e825e3ed50a1aac2e8ae8e48,https://api.bar-rts.com/replays/ae8233684fca9043f7578728820fe743","Unknown, Unknown, Unknown",434,145.9,Bo3 8: burtik vs burtik2023 - burtik wins 3-0 (434min)
Bo3_09,jel523 vs luca234,luca234,2-0,"https://api.bar-rts.com/replays/bdd814686a173d1c5b3ef7cd47512f85,https://api.bar-rts.com/replays/96e31468bf40ef80f4e89b9c0fcc8c0e,https://api.bar-rts.com/replays/98f11568ad0722c98cce6c01f7078c1a","Unknown, Unknown, Unknown",433,20.0,Bo3 9: jel523 vs luca234 - luca234 wins 2-0 (433min)
Bo3_10,jhonboy vs jimmyneutron,jimmyneutron,2-1,"https://api.bar-rts.com/replays/e2ad4c682faa23aa0125bb01fb66f9a1,https://api.bar-rts.com/replays/46e54e68487fb1f032eeb078f8c776c2,https://api.bar-rts.com/replays/0f0a4f685adce2d007dce4656856dc8f","Unknown, Unknown, Unknown",418,43.0,Bo3 10: jhonboy vs jimmyneutron - jimmyneutron wins 2-1 (418min)
